parkingTransactionKey,transactionSourceCode,meterId,zoneNbr,startDtm,endDtm,transactionAmt,paymentTypeName,transactionStatusCode,meterManufacturerName,blockNbr,sourceStreetDisplayName,sideDirectionName,latitudeCrd,longitudeCrd,statePlaneXCrd,statePlaneYCrd,handicapInd,timeRestrictionDsc,maxHoursCnt,meterTypeDsc,dollarPerHourRate,activeStatusInd,zoneSpaceCnt,metroAreaName
8,IPS,FAH4312N,54163,2015-12-31T17:12:10.000Z,2015-12-31T18:00:00.000Z,1.25,Credit Card,Approved,IPS,4300.0,FAIRFAX DR,East,38.88198287,-77.11512619,11877129.80375000,7007222.03312500,True,MON-SAT 8AM-6PM,12.0,Double,1.25,False,1.00,Ballston
14,IPS,CRH2500S,54065,2015-12-31T16:57:39.000Z,2015-12-31T18:00:01.000Z,1.75,Coins,,IPS,2500.0,CRYSTAL DR,West,38.85120916,-77.05026149,11895769.40187500,6996300.72125000,True,MON-SAT 8AM-6PM,4.0,Double,1.25,True,2.00,Crystal City
39,IPS,ULH1412N,54408,2015-12-31T15:04:19.000Z,2015-12-31T17:04:19.000Z,1.35,Coins,,IPS,1400.0,N UHLE ST,West,38.88985375,-77.08474623,11885732.76812500,7010220.16374999,True,MON - SAT 8AM - 8PM,1.0,Single,1.75,False,2.00,Courthouse
50,IPS,RAH500N,54634,2015-12-31T14:26:41.000Z,2015-12-31T18:00:00.000Z,3.75,Credit Card,Approved,MacKay,500.0,N RANDOLPH ST,East,38.87762673,-77.10958651,11878730.61437500,7005659.54250000,False,MON-FRI 8AM-6PM,12.0,Single,1.00,True,2.00,Ballston
57,IPS,317N,54469,2015-12-31T14:04:57.000Z,2015-12-31T14:36:57.000Z,0.80,Coins,,IPS,1400.0,N COURTHOUSE RD,North,38.89058732,-77.08467526,11885748.84937500,7010487.61062500,True,"MON - FRI 8AM - 8PM, SAT 6AM - 12PM",1.0,Single,1.75,False,3.00,Courthouse
71,IPS,ULH1412N,54408,2015-12-31T13:24:19.000Z,2015-12-31T15:16:41.000Z,0.85,Coins,,IPS,1400.0,N UHLE ST,West,38.88985375,-77.08474623,11885732.76812500,7010220.16374999,True,MON - SAT 8AM - 8PM,1.0,Single,1.75,False,2.00,Courthouse
89,IPS,191106N,54520,2015-12-31T12:21:24.000Z,2015-12-31T13:11:24.000Z,1.25,Coins,,IPS,1100.0,19TH ST N,East,38.89699722,-77.07008220,11889865.64812500,7012886.19062500,False,MON-SAT 8AM-6PM,4.0,Double,1.25,True,5.00,Rosslyn
101,IPS,QNH1600N,54525,2015-12-31T12:06:03.000Z,2015-12-31T13:06:03.000Z,1.50,Coins,,IPS,1600.0,N QUINN ST,West,38.89381150,-77.07865384,11887444.35625000,7011688.20125000,True,MON-SAT 8AM-6PM,4.0,Single,1.25,True,1.00,Rosslyn
123,IPS,317N,54469,2015-12-31T10:47:38.000Z,2015-12-31T11:07:38.000Z,0.50,Coins,,IPS,1400.0,N COURTHOUSE RD,North,38.89058732,-77.08467526,11885748.84937500,7010487.61062500,True,"MON - FRI 8AM - 8PM, SAT 6AM - 12PM",1.0,Single,1.75,False,3.00,Courthouse
132,IPS,GMH1621N,54593,2015-12-31T09:44:48.000Z,2015-12-31T10:05:09.000Z,0.50,Coins,,IPS,1600.0,N GEORGE MASON DR,East,38.88851264,-77.12831895,11873339.15875000,7009543.53874999,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,1.00,Virginia Hospital
141,IPS,317N,54469,2015-12-31T08:21:37.000Z,2015-12-31T08:39:37.000Z,0.45,Coins,,IPS,1400.0,N COURTHOUSE RD,North,38.89058732,-77.08467526,11885748.84937500,7010487.61062500,True,"MON - FRI 8AM - 8PM, SAT 6AM - 12PM",1.0,Single,1.75,False,3.00,Courthouse
170,IPS,CB2504N,54439,2016-12-31T17:28:51.000Z,2016-12-31T18:00:01.000Z,0.10,Coins,,MacKay,2500.0,CLARENDON BLVD,South,38.88919241,-77.08933184,11884431.39750000,7009959.24312501,False,MON-SAT 8AM-6PM,2.0,Single,1.25,True,3.00,Courthouse
195,IPS,Spares (Arlington VA),,2016-12-31T16:53:46.000Z,2016-12-31T17:33:46.000Z,0.50,Coins,,,,,,,,,,,,,,,False,,
225,IPS,HI1103N,54251,2016-12-31T15:23:47.000Z,2016-12-31T15:43:47.000Z,0.50,Coins,,IPS,1100.0,N HIGHLAND ST,East,38.88591789,-77.09472341,11882915.18750000,7008743.26312500,False,MON - SAT 8AM - 8PM,2.0,Single,1.75,False,8.00,Clarendon
230,IPS,CLA2603S,54037,2016-12-31T15:12:11.000Z,2016-12-31T15:22:11.000Z,0.25,Coins,,POM,2600.0,S CLARK ST,East,38.85042650,-77.05184554,11895322.83500000,6996008.59125000,False,MON-SAT 8AM-6PM,2.0,Double,1.25,True,12.00,Crystal City
259,IPS,CRH1700S,54688,2016-12-31T14:31:27.000Z,2016-12-31T14:57:15.000Z,0.10,Coins,,IPS,1700.0,CRYSTAL DR,West,38.85829174,-77.04929791,11896003.02375000,6998884.19875000,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,1.00,CRYSTAL CITY
266,IPS,CB2406N,54441,2016-12-31T14:21:22.000Z,2016-12-31T14:41:22.000Z,0.50,Coins,,IPS,2400.0,CLARENDON BLVD,South,38.88964198,-77.08819931,11884751.20187500,7010127.91249999,False,MON-SAT 8AM-6PM,2.0,Single,1.25,True,4.00,Courthouse
281,IPS,AD905S,54669,2016-12-31T13:56:48.000Z,2016-12-31T13:56:48.000Z,0.50,Coins,,IPS,900.0,S ADAMS ST,West,38.86399214,-77.08347786,11886239.07562500,7000808.04187500,False,MON - SAT 8AM - 8PM,2.0,Double,1.75,False,2.00,Columbia Pike
291,IPS,ELH1203S,54664,2016-12-31T13:48:44.000Z,2016-12-31T14:08:44.000Z,0.50,Coins,,IPS,1200.0,S ELM ST,East,38.86212107,-77.05545411,11894228.25312500,7000251.02124999,True,MON - SAT 8AM - 8PM,4.0,Double,1.50,False,4.00,Pentagon City
295,IPS,CLAH2310S,54061,2016-12-31T13:48:03.000Z,2016-12-31T13:58:03.000Z,0.25,Coins,,IPS,2300.0,S CLARK ST,West,38.85270628,-77.05210596,11895235.58437500,6996837.61187500,False,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,4.00,Crystal City
310,IPS,JO1323S,54377,2016-12-31T13:33:09.000Z,2016-12-31T13:53:07.000Z,0.25,Coins,,POM,1300.0,S JOYCE ST,East,38.86299261,-77.06349297,11891934.54187500,7000532.47750001,False,MON-SAT 8AM-6PM,30.0,Single,1.25,True,2.00,Pentagon City
317,IPS,AD905S,54669,2016-12-31T13:26:31.000Z,2016-12-31T13:26:31.000Z,0.25,Coins,,IPS,900.0,S ADAMS ST,West,38.86399214,-77.08347786,11886239.07562500,7000808.04187500,False,MON - SAT 8AM - 8PM,2.0,Double,1.75,False,2.00,Columbia Pike
329,IPS,GAH1200N,54690,2016-12-31T13:15:17.000Z,2016-12-31T14:35:17.000Z,2.00,Coins,,IPS,1200.0,N GARFIELD ST,East,38.88726493,-77.09391335,11883138.22937500,7009237.32937500,True,MON-SAT 8AM-6PM,4.0,Single,1.50,False,1.00,Clarendon
353,IPS,SU800N,54122,2016-12-31T12:35:02.000Z,2016-12-31T13:35:02.000Z,0.25,Coins,,POM,800.0,N STUART ST,East,38.88033327,-77.11167623,11878120.86750000,7006636.14875001,False,MON-SAT 8AM-6PM,1.0,Double,1.25,False,1.00,Ballston
362,IPS,23H704S,54324,2016-12-31T12:25:09.000Z,2016-12-31T14:25:09.000Z,3.00,Credit Card,Approved,IPS,700.0,23RD ST S,South,38.85322556,-77.05900538,11893268.02312500,6996995.79500000,True,MON - SAT 8AM - 8PM,4.0,Single,1.75,False,1.00,Crystal City
373,IPS,Ga903N,54256,2016-12-31T11:59:36.000Z,2016-12-31T13:59:36.000Z,3.00,Credit Card,Approved,MacKay,900.0,N GARFIELD ST,West,38.88416808,-77.09361362,11883240.81500000,7008110.88937500,False,MON-SAT 8AM-6PM,4.0,Single,1.25,False,3.00,Clarendon
382,IPS,CB2402N,54441,2016-12-31T11:40:18.000Z,2016-12-31T13:40:18.000Z,3.00,Credit Card,Approved,MacKay,2400.0,CLARENDON BLVD,South,38.88979256,-77.08781182,11884860.63875000,7010184.44437499,False,MON-SAT 8AM-6PM,2.0,Double,1.25,True,4.00,Courthouse
389,IPS,H149N,54118,2016-12-31T11:33:56.000Z,2016-12-31T12:13:47.000Z,0.50,Coins,,IPS,4200.0,WILSON BLVD,East,38.87933459,-77.11227052,11877957.20562500,7006269.91500001,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,2.00,Ballston
407,IPS,CLA2601S,54037,2016-12-31T11:06:20.000Z,2016-12-31T12:07:43.000Z,0.10,Coins,,POM,2600.0,S CLARK ST,East,38.85044167,-77.05183772,11895324.97312500,6996014.15125000,False,MON-SAT 8AM-6PM,2.0,Double,1.25,True,12.00,Crystal City
414,IPS,9H4114N,54327,2016-12-31T10:53:26.000Z,2016-12-31T11:03:26.000Z,0.25,Coins,,IPS,4100.0,9TH ST N,East,38.88098324,-77.11056471,11878433.66812500,7006877.62812500,True,MON-SAT 8AM-6PM,2.0,Double,1.25,True,1.00,Ballston
425,IPS,HI1103N,54251,2016-12-31T10:40:59.000Z,2016-12-31T10:50:59.000Z,0.25,Coins,,IPS,1100.0,N HIGHLAND ST,East,38.88591789,-77.09472341,11882915.18750000,7008743.26312500,False,MON - SAT 8AM - 8PM,2.0,Single,1.75,False,8.00,Clarendon
470,IPS,103700N,54226,2016-12-31T09:10:59.000Z,2016-12-31T10:10:26.000Z,0.50,Coins,,POM,3600.0,10TH ST N,East,38.88358061,-77.10510514,11879973.29500000,7007847.05062500,False,MON-SAT 8AM-6PM,2.0,Single,1.25,True,10.00,Virginia Square
485,IPS,JO1315 S,54375,2016-12-30T20:46:38.000Z,2016-12-30T20:46:38.000Z,0.05,Coins,,IPS,1300.0,S JOYCE ST,East,38.86394566,-77.06327377,11891991.51687500,7000880.51187500,False,MON - SAT 8AM - 8PM,1.0,Single,1.75,False,1.00,Pentagon City
499,IPS,22H501S,54726,2016-12-30T17:32:49.000Z,2016-12-30T17:34:49.000Z,0.05,Coins,,IPS,500.0,22nd ST S,North,38.85423976,-77.05361195,11894797.95750000,6997389.27062500,True,MON-FRI 8AM-6PM,12.0,Single,1.00,True,1.00,Crystal City
518,IPS,EAH2401S,54691,2016-12-30T16:56:44.000Z,2016-12-30T17:06:44.000Z,0.25,Coins,,IPS,2400.0,S EADS ST,East,38.85225409,-77.05341242,11894866.16750000,6996667.08062500,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,1.00,Crystal City
525,IPS,CAH4102S,54703,2016-12-30T16:45:24.000Z,2016-12-30T18:00:01.000Z,0.25,Coins,,IPS,4100.0,CAMPBELL AVE,North,38.84084040,-77.08954221,11884642.07062500,6992350.62750000,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,1.00,Shirlington
540,IPS,23504S,54072,2016-12-30T16:20:39.000Z,2016-12-30T17:00:39.000Z,1.00,Credit Card,Approved,IPS,500.0,23RD ST S,South,38.85330584,-77.05414778,11894650.74125000,6997046.77937500,False,MON - SAT 8AM - 8PM,2.0,Single,1.75,False,11.00,Crystal City
555,IPS,HI1101N,54251,2016-12-30T16:08:59.000Z,2016-12-30T16:38:59.000Z,0.75,Coins,,IPS,1100.0,N HIGHLAND ST,East,38.88598430,-77.09472021,11882915.02500000,7008770.28375000,False,MON - SAT 8AM - 8PM,2.0,Single,1.75,True,8.00,Clarendon
566,IPS,AD905S,54669,2016-12-30T16:00:59.000Z,2016-12-30T16:55:43.000Z,0.05,Coins,,IPS,900.0,S ADAMS ST,West,38.86399214,-77.08347786,11886239.07562500,7000808.04187500,False,MON - SAT 8AM - 8PM,2.0,Double,1.75,False,2.00,Columbia Pike
573,IPS,PO2003N,54603,2016-12-30T15:54:13.000Z,2016-12-30T16:47:15.000Z,0.05,Coins,,Duncan,2000.0,N POLLARD ST,East,38.89638838,-77.10710107,11879334.42500000,7012502.49875000,False,MON-SAT 8AM-6PM,2.0,Double,1.25,True,2.00,Lee Hwy
578,IPS,WRH921S,54574,2016-12-30T15:52:53.000Z,2016-12-30T16:02:53.000Z,0.25,Coins,,IPS,900.0,S WALTER REED DR,West,38.86310214,-77.08699856,11885241.70625000,7000468.49562500,True,MON - SAT 8AM - 8PM,2.0,Single,1.25,False,1.00,Columbia Pike
582,IPS,CB2402N,54441,2016-12-30T15:47:24.000Z,2016-12-30T16:17:18.000Z,0.25,Coins,,MacKay,2400.0,CLARENDON BLVD,South,38.88979256,-77.08781182,11884860.63875000,7010184.44437499,False,MON-SAT 8AM-6PM,2.0,Double,1.25,True,4.00,Courthouse
588,IPS,JO1315 S,54375,2016-12-30T15:45:00.000Z,2016-12-30T16:11:00.000Z,0.65,Coins,,IPS,1300.0,S JOYCE ST,East,38.86394566,-77.06327377,11891991.51687500,7000880.51187500,False,MON - SAT 8AM - 8PM,1.0,Single,1.75,False,1.00,Pentagon City
608,IPS,CAH4102S,54703,2016-12-30T15:20:23.000Z,2016-12-30T18:00:01.000Z,1.00,Coins,,IPS,4100.0,CAMPBELL AVE,North,38.84084040,-77.08954221,11884642.07062500,6992350.62750000,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,1.00,Shirlington
615,IPS,CB2502N,54439,2016-12-30T15:17:29.000Z,2016-12-30T17:17:29.000Z,3.00,Credit Card,Approved,MacKay,2500.0,CLARENDON BLVD,South,38.88921897,-77.08925861,11884452.09000000,7009969.23312500,False,MON-SAT 8AM-6PM,2.0,Double,1.25,True,3.00,Courthouse
631,IPS,H313N,54468,2016-12-30T15:02:42.000Z,2016-12-30T15:24:43.000Z,0.25,Coins,,IPS,2100.0,N COURTHOUSE RD,West,38.89049664,-77.08485747,11885697.50000000,7010453.78937501,True,"MON - FRI 8AM - 8PM, SAT 6AM - 12PM",12.0,Single,1.50,False,3.00,Courthouse
648,IPS,GLBH601N,54144,2016-12-30T14:39:16.000Z,2016-12-30T14:53:16.000Z,0.35,Coins,,IPS,600.0,N GLEBE RD,East,38.87893089,-77.11192351,11878058.20187500,7006124.39500000,True,MON - SAT 8AM - 8PM,4.0,Double,1.50,False,2.00,Ballston
673,IPS,CRH2106S,54655,2016-12-30T14:16:58.000Z,2016-12-30T14:28:58.000Z,0.30,Coins,,IPS,2100.0,CRYSTAL DR,West,38.85534793,-77.04948640,11895966.29375000,6997811.35250001,True,MON - SAT 8AM - 8PM,4.0,Double,1.50,False,1.00,Crystal City
694,IPS,9H4001N,54160,2016-12-30T13:57:58.000Z,2016-12-30T14:07:58.000Z,0.25,Coins,,IPS,4000.0,9TH ST N,North,38.88112507,-77.10870390,11878962.54187500,7006937.30187500,True,MON-SAT 8AM-6PM,4.0,Double,1.25,True,1.00,Ballston
708,IPS,EAH1714S,54675,2016-12-30T13:45:51.000Z,2016-12-30T14:11:45.000Z,0.50,Coins,,IPS,1700.0,S EADS ST,West,38.85817399,-77.05331025,11894861.28437500,6998823.29000001,True,MON - SAT 8AM - 8PM,4.0,Double,1.50,False,2.00,Crystal City
